custid,orderid,date,price,qty
100000,749866,2026-01-31,41.94,1
100001,705102,2024-03-10,34.74,1
100001,705455,2024-03-16,47.94,1
100001,720560,2025-01-21,34.74,1
100002,735525,2025-09-01,34.74,1
100003,744724,2025-12-09,41.94,1
100004,723804,2025-03-20,38.28,2
100005,715571,2024-09-23,83.82,4
100006,738173,2025-10-03,35.94,1
100007,728856,2025-06-08,35.94,1
100008,727080,2025-05-13,35.94,1
100009,719378,2024-12-26,34.74,1
100009,735554,2025-09-02,35.94,1
100010,732907,2025-08-01,35.94,1
100011,723530,2025-03-16,35.94,1
100011,724523,2025-04-01,35.94,1
100011,725970,2025-04-26,35.94,1
100011,727299,2025-05-17,35.94,1
100011,732514,2025-07-27,35.94,1
100012,725797,2025-04-21,35.94,1
100013,755118,2026-03-25,35.94,1
100014,728338,2025-06-01,37.14,1
100015,747297,2026-01-02,35.94,1
100016,751055,2026-02-11,35.94,1
100017,743757,2025-12-01,35.99,1
100018,707409,2024-04-10,29.94,1
100019,715583,2024-09-23,51.48,2
100020,724066,2025-03-24,35.94,1
100021,739197,2025-10-15,28.8,1
100022,750956,2026-02-10,35.94,1
100023,723943,2025-03-22,103.07,3
100024,700766,2024-01-10,34.74,1
100024,703104,2024-02-13,67.08,2
100025,755510,2026-03-30,35.94,1
100026,755233,2026-03-26,41.94,1
100027,719257,2024-12-22,47.94,1
100028,703693,2024-02-20,34.74,1
100029,714810,2024-09-06,137.94,2
100029,715188,2024-09-14,107.94,1
100029,715936,2024-10-02,107.94,1
100029,717102,2024-10-29,118.8,1
100029,718325,2024-11-27,107.94,1
100029,718631,2024-12-06,215.88,2
100029,719813,2025-01-04,118.8,1
100029,721044,2025-01-30,107.94,1
100029,721631,2025-02-11,237.6,2
100029,722753,2025-03-03,237.6,2
100029,723785,2025-03-20,118.8,1
100029,724483,2025-03-31,118.8,1
100029,725239,2025-04-13,118.8,1
100029,725920,2025-04-25,118.8,1
100029,726570,2025-05-05,237.6,2
100029,727804,2025-05-25,111.54,1
100029,728616,2025-06-05,230.34,2
100029,730764,2025-07-04,118.8,1
100029,732287,2025-07-24,118.8,1
100029,734082,2025-08-15,237.6,2
100029,737557,2025-09-26,115.14,1
100029,738992,2025-10-13,233.94,2
100029,739516,2025-10-18,233.94,2
100029,744921,2025-12-11,236.34,2
100029,755212,2026-03-26,238.74,2
100029,757987,2026-04-26,238.74,2
100029,760289,2026-05-15,238.74,2
100030,758388,2026-04-30,35.94,1
100031,735788,2025-09-05,35.94,1
100032,729932,2025-06-23,23.94,1
100033,718521,2024-12-03,143.82,3
100034,728003,2025-05-28,37.14,1
100035,735673,2025-09-03,71.88,2
100036,717146,2024-10-30,118.8,1
100037,731069,2025-07-08,35.94,1
100038,739236,2025-10-16,35.94,1
100039,750355,2026-02-04,35.94,1
100040,707570,2024-04-13,34.74,1
100041,710576,2024-06-03,28.8,1
100042,716167,2024-10-08,28.8,1
100043,757368,2026-04-18,35.94,1
100044,721497,2025-02-09,57.48,2
100045,701966,2024-01-27,74.28,2
100046,718437,2024-11-30,59.94,1
100046,719398,2024-12-26,59.94,1
100046,744554,2025-12-08,59.94,1
100047,730588,2025-07-02,35.94,1
100048,702166,2024-01-30,41.94,1
100049,731728,2025-07-17,111.54,1
100050,722546,2025-02-27,47.94,1
100051,721011,2025-01-29,34.74,1
100052,725754,2025-04-21,35.94,1
100053,742614,2025-11-19,37.14,1
100054,720001,2025-01-09,28.8,1
100055,702853,2024-02-10,28.8,1
100056,743228,2025-11-25,41.94,1
100057,716375,2024-10-13,41.94,1
100058,723972,2025-03-23,47.94,1
100059,705300,2024-03-13,40.74,2
100060,717161,2024-10-30,34.74,1
100061,706568,2024-03-30,137.94,2
100062,722595,2025-02-28,28.8,1
100062,723119,2025-03-09,41.88,2
100063,754365,2026-03-16,35.94,1
100064,740567,2025-10-30,37.14,1
100065,753933,2026-03-11,35.94,1
100066,748192,2026-01-12,95.82,3
100067,705819,2024-03-21,28.8,1
100068,730324,2025-06-28,67.08,2
100069,745121,2025-12-13,35.94,1
100070,714427,2024-08-28,28.8,1
100071,718134,2024-11-22,47.94,1
100072,728122,2025-05-29,19.14,1
100073,746779,2025-12-27,35.94,1
100074,734735,2025-08-23,45.54,2
100075,746761,2025-12-27,47.94,1
100076,711148,2024-06-16,62.28,2
100077,736960,2025-09-19,35.94,1
100078,704658,2024-03-04,47.94,1
100079,721860,2025-02-14,34.74,1
100080,712510,2024-07-15,143.82,3
100081,756059,2026-04-04,71.88,2
100082,744809,2025-12-10,71.88,2
100083,700520,2024-01-06,47.94,1
100084,731014,2025-07-07,154.79,2
100085,712321,2024-07-11,28.8,1
100086,706701,2024-04-01,47.94,1
100087,719586,2024-12-30,59.94,1
100088,703129,2024-02-13,41.94,1
100089,745586,2025-12-16,28.8,1
100090,700046,2024-01-01,28.8,1
100091,741353,2025-11-07,35.94,1
100092,723556,2025-03-17,74.22,3
100093,732248,2025-07-24,29.94,1
100094,711555,2024-06-25,59.94,1
100094,711603,2024-06-26,190.56,4
100095,750984,2026-02-10,41.94,1
100096,726127,2025-04-28,34.74,1
100097,724025,2025-03-24,47.94,1
100098,702177,2024-01-30,59.94,1
100098,703223,2024-02-14,128.28,2
100099,709768,2024-05-19,28.8,1
100100,734046,2025-08-15,35.94,1
100101,700724,2024-01-09,28.8,1
100102,703762,2024-02-21,47.94,1
100102,737510,2025-09-25,128.16,4
100103,702301,2024-02-01,47.94,1
100104,718762,2024-12-10,106.56,4
100104,732045,2025-07-21,147.48,2
100104,754697,2026-03-20,23.94,1
100105,729837,2025-06-22,35.94,1
100106,726060,2025-04-27,67.08,2
100107,704588,2024-03-03,143.82,3
100108,748623,2026-01-17,35.99,1
100109,751046,2026-02-11,35.94,1
100110,734612,2025-08-22,71.88,2
100111,700779,2024-01-10,41.94,1
100111,704541,2024-03-02,41.94,1
100111,730072,2025-06-25,41.94,1
100112,754363,2026-03-16,71.88,2
100113,744624,2025-12-08,35.99,1
100114,736190,2025-09-10,83.88,2
100115,711663,2024-06-28,143.76,4
100115,740973,2025-11-03,71.88,2
100116,726318,2025-05-01,35.94,1
100117,741883,2025-11-12,35.94,1
100118,755810,2026-04-02,29.94,1
100119,709061,2024-05-06,88.74,2
100120,757367,2026-04-18,47.94,1
100121,715033,2024-09-11,47.94,1
100122,742080,2025-11-14,15.54,1
100123,754527,2026-03-19,28.8,1
100124,752766,2026-02-27,59.94,1
100125,752994,2026-03-01,35.94,1
100126,750085,2026-02-01,35.94,1
100127,729161,2025-06-13,35.94,1
100128,707206,2024-04-07,69.48,2
100129,747618,2026-01-06,35.94,1
100130,754007,2026-03-12,41.94,1
100131,736942,2025-09-18,35.94,1
100132,715326,2024-09-17,34.74,1
100133,746568,2025-12-25,35.99,1
100134,722433,2025-02-25,23.94,1
100135,721846,2025-02-14,62.28,2
100136,720360,2025-01-17,23.94,1
100137,740477,2025-10-29,37.14,1
100138,728931,2025-06-09,35.94,1
100138,732775,2025-07-31,35.94,1
100139,741547,2025-11-08,59.88,2
100140,712215,2024-07-08,119.88,2
100140,725167,2025-04-11,103.02,3
100141,757606,2026-04-21,47.94,1
100142,713701,2024-08-11,47.94,1
100142,713746,2024-08-12,23.94,1
100143,724922,2025-04-08,41.94,1
100144,755878,2026-04-03,71.88,2
100145,717896,2024-11-16,35.99,1
100146,736275,2025-09-11,29.94,1
100147,712497,2024-07-14,47.88,2
100148,736988,2025-09-19,28.8,1
100148,759028,2026-05-07,28.8,1
100149,740793,2025-11-01,35.94,1
100150,735247,2025-08-29,23.94,1
100151,725424,2025-04-15,35.94,1
100152,726864,2025-05-10,65.88,2
100153,701648,2024-01-23,28.8,1
100154,704800,2024-03-06,28.8,1
100155,752660,2026-02-26,23.94,1
100156,731478,2025-07-13,35.94,1
100157,714185,2024-08-23,143.82,3
100158,741479,2025-11-08,41.94,1
100159,748720,2026-01-18,35.94,1
100160,736177,2025-09-10,28.8,1
100161,748365,2026-01-15,23.94,1
100162,717983,2024-11-18,23.94,1
100163,719799,2025-01-04,35.94,1
100164,743008,2025-11-22,35.94,1
100165,729086,2025-06-12,35.94,1
100166,734193,2025-08-17,77.88,2
100166,739562,2025-10-19,113.82,3
100167,709519,2024-05-14,62.28,2
100167,718720,2024-12-09,62.28,2
100167,736724,2025-09-16,47.94,1
100167,750082,2026-02-01,47.94,1
100168,735953,2025-09-06,47.94,1
100169,703955,2024-02-23,57.6,2
100170,758503,2026-05-01,35.94,1
100171,716339,2024-10-12,41.94,1
100172,708754,2024-05-01,34.74,1
100173,743958,2025-12-03,35.94,1
100174,737433,2025-09-24,35.94,1
100175,702878,2024-02-10,125.82,3
100176,726645,2025-05-06,35.94,1
100177,757563,2026-04-21,35.94,1
100178,727265,2025-05-16,83.88,2
100179,737981,2025-10-01,23.94,1
100180,726407,2025-05-02,59.94,1
100181,731597,2025-07-15,43.14,2
100182,734435,2025-08-20,41.94,1
100182,760088,2026-05-13,23.94,1
100183,744025,2025-12-04,35.94,1
100184,701549,2024-01-22,41.94,1
100185,755826,2026-04-02,51.48,2
100186,723974,2025-03-23,35.94,1
100187,709539,2024-05-15,136.56,4
100188,743318,2025-11-26,73.08,2
100189,716088,2024-10-06,431.82,3
100189,718623,2024-12-06,79.02,3
100189,718785,2024-12-12,359.82,3
100189,720784,2025-01-25,191.94,6
100189,722344,2025-02-23,431.82,3
100189,727463,2025-05-19,431.82,3
100189,733000,2025-08-03,71.82,3
100189,739153,2025-10-15,83.88,2
100189,746331,2025-12-22,79.02,3
100189,747423,2026-01-03,215.88,2
100189,750299,2026-02-04,210.72,8
100190,745057,2025-12-12,41.94,1
100191,731572,2025-07-14,71.98,2
100192,747047,2025-12-30,35.99,1
100193,742802,2025-11-21,23.94,1
100194,735181,2025-08-28,59.94,1
100195,712009,2024-07-04,69.48,2
100195,724509,2025-04-01,118.8,1
100196,718398,2024-11-29,62.28,2
100196,718477,2024-12-01,76.62,3
100196,719445,2024-12-27,47.94,1
100197,748353,2026-01-14,95.88,2
100197,749103,2026-01-23,167.82,3
100197,749395,2026-01-26,107.94,1
100198,756870,2026-04-12,118.8,1
100199,730904,2025-07-06,59.94,1
100200,711598,2024-06-26,57.6,2
100201,720041,2025-01-09,47.94,1
100202,728993,2025-06-10,46.74,2
100203,703077,2024-02-13,28.8,1
100204,729168,2025-06-13,35.94,1
100205,737951,2025-09-30,23.94,1
100206,727761,2025-05-24,35.94,1
100207,705287,2024-03-13,62.28,2
100208,711338,2024-06-22,43.14,2
100209,710609,2024-06-04,34.74,1
100210,737538,2025-09-26,28.8,1
100211,757642,2026-04-22,37.14,1
100212,759938,2026-05-12,71.88,2
100213,754553,2026-03-19,71.88,2
100214,703166,2024-02-14,57.48,2
100215,747578,2026-01-05,59.94,1
100216,725409,2025-04-15,28.8,1
100217,720865,2025-01-27,74.28,2
100218,749876,2026-01-31,35.94,1
100219,741366,2025-11-07,37.14,1
100220,708955,2024-05-05,34.74,1
100221,749767,2026-01-30,47.94,1
100221,750567,2026-02-06,107.88,2
100221,755231,2026-03-26,107.94,1
100222,755039,2026-03-24,47.94,1
100223,702061,2024-01-29,47.88,2
100224,724379,2025-03-30,41.94,1
100225,725218,2025-04-12,44.34,2
100226,703575,2024-02-19,137.94,2
100227,700210,2024-01-03,47.94,1
100228,750124,2026-02-02,28.8,1
100229,703881,2024-02-23,41.94,1
100230,736814,2025-09-17,35.94,1
100231,708836,2024-05-03,34.74,1
100232,708764,2024-05-01,28.8,1
100233,752220,2026-02-22,35.94,1
100234,737116,2025-09-20,28.8,1
100235,712216,2024-07-08,23.94,1
100236,712821,2024-07-22,107.82,3
100237,758745,2026-05-04,35.94,1
100238,717297,2024-11-02,47.94,1
100239,709364,2024-05-12,23.94,1
100239,709366,2024-05-12,7.16,1
100240,703494,2024-02-18,43.2,1
100240,704677,2024-03-04,119.88,2
100241,757081,2026-04-15,41.94,1
100242,757539,2026-04-21,41.94,1
100243,702431,2024-02-03,34.74,1
100244,717006,2024-10-27,34.74,1
100245,729781,2025-06-21,28.8,1
100245,730568,2025-07-02,34.74,1
100246,712186,2024-07-07,47.94,2
100247,723116,2025-03-09,25.14,1
100248,742890,2025-11-21,37.14,1
100248,745098,2025-12-13,23.94,1
100249,740674,2025-10-31,37.14,1
100250,732612,2025-07-28,47.94,1
100251,709203,2024-05-09,67.08,2
100252,754918,2026-03-23,35.94,1
100253,760048,2026-05-13,35.94,1
100254,754943,2026-03-23,28.8,1
100255,711176,2024-06-17,34.74,1
100256,748784,2026-01-19,35.94,1
100257,749990,2026-02-01,29.94,1
100258,700014,2024-01-01,40.68,2
100259,706860,2024-04-03,35.94,1
100260,705574,2024-03-18,28.8,1
100261,717481,2024-11-06,43.14,2
100262,721514,2025-02-09,28.8,1
100263,716956,2024-10-26,34.74,1
100264,746469,2025-12-24,71.88,2
100265,758130,2026-04-27,35.94,1
100266,758765,2026-05-04,37.14,1
100267,709843,2024-05-20,75.48,3
100268,723352,2025-03-13,71.88,2
100269,754493,2026-03-18,64.74,2
100270,737217,2025-09-22,37.14,1
100271,742669,2025-11-19,35.94,1
100272,706388,2024-03-28,63.54,2
100273,708082,2024-04-20,47.88,3
100274,726240,2025-04-30,35.94,1
100275,706456,2024-03-29,71.82,3
100276,752012,2026-02-20,71.88,2
100277,708820,2024-05-02,34.74,1
100278,732377,2025-07-25,179.82,3
100279,709532,2024-05-15,34.74,1
100280,734241,2025-08-17,55.08,2
100281,743478,2025-11-28,47.94,1
100282,713970,2024-08-17,137.94,2
100283,700806,2024-01-11,28.8,1
100284,722255,2025-02-22,34.74,1
100284,736467,2025-09-13,35.94,1
100285,742909,2025-11-22,47.94,1
100286,705400,2024-03-15,28.8,1
100287,738714,2025-10-10,35.99,1
100288,756869,2026-04-12,37.14,1
100289,703417,2024-02-17,34.74,1
100289,706989,2024-04-04,124.68,3
100290,715940,2024-10-02,179.82,3
100291,707922,2024-04-18,34.74,1
100291,713298,2024-08-03,28.8,1
100291,727395,2025-05-18,29.94,1
100291,734846,2025-08-24,29.94,1
100292,712923,2024-07-25,202.38,7
100293,701181,2024-01-16,95.88,2
100293,730919,2025-07-06,47.94,1
100294,742100,2025-11-14,41.94,1
100295,735023,2025-08-26,55.08,2
100296,746659,2025-12-26,15.54,1
100297,732627,2025-07-28,28.8,1
100298,711604,2024-06-26,43.14,2
100299,718023,2024-11-19,28.8,1
100300,731303,2025-07-11,47.94,1
100300,739809,2025-10-21,47.94,1
100301,759319,2026-05-10,35.94,1
100301,760493,2026-05-17,71.88,2
100302,723397,2025-03-14,63.48,2
100303,755477,2026-03-29,28.8,1
100304,725650,2025-04-19,35.94,1
100304,727048,2025-05-12,55.08,2
100304,735191,2025-08-28,35.94,1
100305,724226,2025-03-27,35.94,1
100306,730820,2025-07-05,34.74,1
100307,722697,2025-03-02,23.94,1
100308,736579,2025-09-14,23.94,1
100309,732997,2025-08-03,59.94,1
100310,701107,2024-01-15,28.8,1
100311,710726,2024-06-07,47.94,1
100312,722768,2025-03-04,47.94,1
100313,706891,2024-04-03,41.94,1
100313,710172,2024-05-26,41.94,1
100314,720355,2025-01-16,34.74,1
100315,747316,2026-01-02,23.94,1
100316,741051,2025-11-03,109.02,3
100317,718022,2024-11-19,67.08,2
100318,711402,2024-06-23,34.74,1
100319,750438,2026-02-05,35.94,1
100320,716825,2024-10-23,35.99,1
100321,712697,2024-07-19,62.28,2
100321,715137,2024-09-13,47.94,1
100322,741461,2025-11-08,37.14,1
100323,716440,2024-10-14,55.08,2
100324,735370,2025-08-30,23.94,1
100325,715001,2024-09-10,29.94,1
100326,755821,2026-04-02,47.94,1
100327,718255,2024-11-25,59.94,1
100328,757711,2026-04-23,71.88,2
100329,726006,2025-04-26,23.94,1
100330,738726,2025-10-10,23.94,1
100331,711094,2024-06-15,47.94,1
100332,724273,2025-03-28,47.94,1
100333,758447,2026-05-01,35.94,1
100334,706648,2024-03-31,76.74,2
100335,731251,2025-07-10,23.94,1
100336,739348,2025-10-17,207.36,4
100337,744085,2025-12-05,37.14,1
100338,745875,2025-12-19,61.08,2
100339,760161,2026-05-14,47.94,2
100340,702362,2024-02-02,119.94,1
100341,713015,2024-07-27,47.94,1
100341,720178,2025-01-12,47.94,1
100341,725594,2025-04-18,47.94,1
100341,730930,2025-07-06,47.94,1
100341,739123,2025-10-14,47.94,1
100342,725864,2025-04-23,41.94,1
100343,735144,2025-08-28,35.94,1
100344,711487,2024-06-24,15.54,1
100345,755356,2026-03-28,35.94,1
100346,746004,2025-12-19,59.94,1
100347,749553,2026-01-27,35.94,1
100348,724193,2025-03-27,47.94,1
100349,700657,2024-01-08,119.94,1
100349,710313,2024-05-28,119.94,1
100349,731089,2025-07-08,119.94,1
100350,736870,2025-09-18,37.14,1
100351,757944,2026-04-26,71.88,2
100352,753219,2026-03-03,59.94,1
100353,706551,2024-03-30,34.74,1
100354,746965,2025-12-29,35.94,1
100355,735997,2025-09-07,55.08,2
100356,736427,2025-09-12,61.14,2
100357,749959,2026-02-01,35.94,1
100358,738835,2025-10-11,83.93,2
100359,751021,2026-02-11,71.88,2
100360,725175,2025-04-12,49.08,2
100361,724988,2025-04-09,34.74,1
100362,757223,2026-04-17,28.8,1
100363,741449,2025-11-08,23.94,1
100364,707716,2024-04-15,47.94,1
100364,726198,2025-04-29,137.94,2
100365,753427,2026-03-05,35.94,1
100366,739260,2025-10-16,35.94,1
100367,732744,2025-07-30,28.8,1
100368,701028,2024-01-14,47.94,1
100369,730514,2025-07-01,35.94,1
100370,732381,2025-07-25,28.8,1
100371,752703,2026-02-26,41.94,1
100372,744345,2025-12-07,35.99,1
100373,755879,2026-04-03,35.94,1
100374,738106,2025-10-02,47.94,1
100375,725680,2025-04-20,44.34,2
100376,720404,2025-01-18,137.94,2
100377,705973,2024-03-23,34.74,1
100378,747671,2026-01-07,77.88,2
100379,708201,2024-04-21,28.8,1
100380,727849,2025-05-25,35.94,1
100381,710847,2024-06-09,34.74,1
