id,age,sex,question,conf,greatly
3,42,Male,coneduc,Only some,0
3,42,Male,conmedic,A great deal,1
3,42,Male,consci,A great deal,1
4,63,Female,coneduc,Hardly any,0
4,63,Female,conmedic,Hardly any,0
4,63,Female,consci,A great deal,1
5,71,Male,coneduc,Only some,0
5,71,Male,conmedic,A great deal,1
5,71,Male,consci,A great deal,1
7,59,Female,coneduc,A great deal,1
7,59,Female,conmedic,A great deal,1
7,59,Female,consci,Only some,0
8,43,Male,coneduc,Hardly any,0
8,43,Male,conmedic,Only some,0
8,43,Male,consci,A great deal,1
9,62,Female,coneduc,Hardly any,0
9,62,Female,conmedic,Only some,0
9,62,Female,consci,Only some,0
10,55,Male,coneduc,Only some,0
10,55,Male,conmedic,Only some,0
10,55,Male,consci,A great deal,1
12,34,Female,coneduc,Only some,0
12,34,Female,conmedic,Only some,0
12,34,Female,consci,Only some,0
14,44,Male,coneduc,Only some,0
14,44,Male,conmedic,A great deal,1
14,44,Male,consci,A great deal,1
15,41,Female,coneduc,A great deal,1
15,41,Female,conmedic,Only some,0
15,41,Female,consci,Hardly any,0
17,55,Female,coneduc,Only some,0
17,55,Female,conmedic,Only some,0
17,55,Female,consci,Only some,0
19,40,Female,coneduc,A great deal,1
19,40,Female,conmedic,Only some,0
19,40,Female,consci,A great deal,1
20,30,Male,coneduc,Only some,0
20,30,Male,conmedic,A great deal,1
20,30,Male,consci,Only some,0
23,40,Female,coneduc,Only some,0
23,40,Female,conmedic,Only some,0
23,40,Female,consci,Only some,0
26,82,Male,coneduc,A great deal,1
26,82,Male,conmedic,A great deal,1
26,82,Male,consci,A great deal,1
28,42,Female,coneduc,Only some,0
28,42,Female,conmedic,Only some,0
28,42,Female,consci,Hardly any,0
29,40,Female,coneduc,A great deal,1
29,40,Female,conmedic,Only some,0
29,40,Female,consci,A great deal,1
30,20,Male,coneduc,Only some,0
30,20,Male,conmedic,A great deal,1
30,20,Male,consci,A great deal,1
31,74,Female,coneduc,Hardly any,0
31,74,Female,conmedic,Hardly any,0
31,74,Female,consci,Hardly any,0
32,89,Male,coneduc,A great deal,1
